word,transliteration,meaning
war,/wɔːr/,chiến tranh
history,/ˈhɪstəri/,lịch sử
party,/ˈpɑːrti/,bữa tiệc, đảng phái
result,/rɪˈzʌlt/,kết quả
change,/tʃeɪndʒ/,thay đổi
morning,/ˈmɔːrnɪŋ/,buổi sáng
afternoon,/ˌæftərˈnuːn/,buổi chiều
evening,/ˈiːvnɪŋ/,buổi tối
night,/naɪt/,ban đêm
reason,/ˈriːzn/,lý do
research,/ˈriːsɜːrtʃ/,nghiên cứu
girl,/ɡɜːrl/,cô gái
boy,/bɔɪ/,cậu bé
moment,/ˈmoʊmənt/,khoảnh khắc
air,/er/,không khí
force,/fɔːrs/,lực lượng, ép buộc
education,/ˌedʒuˈkeɪʃn/,giáo dục
excellent,/ˈeksələnt/,xuất sắc
beautiful,/ˈbjuːtɪfl/,đẹp, xinh đẹp
happy,/ˈhæpi/,hạnh phúc, vui vẻ
sad,/sæd/,buồn bã
angry,/ˈæŋɡri/,tức giận
smart,/smɑːrt/,thông minh
hungry,/ˈhʌnɡri/,đói bụng
thirsty,/ˈθɜːrsti/,khát nước
tired,/ˈtaɪərd/,mệt mỏi
sleepy,/ˈsliːpi/,buồn ngủ
important,/ɪmˈpɔːrtnt/,quan trọng
easy,/ˈiːzi/,dễ dàng
difficult,/ˈdɪfɪkəlt/,khó khăn
simple,/ˈsɪmpl/,đơn giản
complex,/kəmˈpleks/,phức tạp
understand,/ˌʌndərˈstænd/,hiểu
question,/ˈkwestʃən/,câu hỏi
answer,/ˈænsər/,trả lời, đáp án
example,/ɪɡˈzæmpl/,ví dụ
practice,/ˈpræktɪs/,luyện tập
success,/səkˈses/,thành công
failure,/ˈfeɪljər/,thất bại
progress,/ˈprɑːɡres/,tiến bộ
level,/ˈlevl/,mức độ
memory,/ˈmeməri/,trí nhớ
vocabulary,/vəˈkæbjəleri/,từ vựng
pronunciation,/prəˌnʌnsiˈeɪʃn/,phát âm
grammar,/ˈɡræmər/,ngữ pháp
sentence,/ˈsentəns/,câu
conversation,/ˌkɑːnvərˈseɪʃn/,cuộc hội thoại
write,/raɪt/,viết
read,/riːd/,đọc
speak,/spiːk/,nói
listen,/ˈlɪsn/,nghe
translate,/trænzˈleɪt/,dịch
understand,/ˌʌndərˈstænd/,hiểu biết
know,/noʊ/,biết
learn,/lɜːrn/,học
teach,/tiːtʃ/,dạy
explain,/ɪkˈspleɪn/,giải thích
develop,/dɪˈveləp/,phát triển
create,/kriˈeɪt/,tạo ra
design,/dɪˈzaɪn/,thiết kế
test,/test/,kiểm tra
code,/koʊd/,mã code, lập trình
system,/ˈsɪstəm/,hệ thống
network,/ˈnetwɜːrk/,mạng lưới
database,/ˈdeɪtəbeɪs/,cơ sở dữ liệu
security,/sɪˈkjʊrəti/,an ninh, bảo mật
privacy,/ˈpraɪvəsi/,sự riêng tư
share,/ʃer/,chia sẻ
connect,/kəˈnekt/,kết nối
explore,/ɪkˈsplɔːr/,khám phá
enjoy,/ɪnˈdʒɔɪ/,thưởng thức
welcome,/ˈwelkəm/,chào mừng
goodbye,/ˌɡʊdˈbaɪ/,tạm biệt
please,/pliːz/,làm ơn, vui lòng
thanks,/θæŋks/,cảm ơn
sorry,/ˈsɑːri/,xin lỗi
excuse,/ɪkˈskjuːs/,xin lỗi (làm phiền)
permit,/pərˈmɪt/,cho phép
forbid,/fərˈbɪd/,cấm đoán
require,/rɪˈkwaɪər/,yêu cầu
suggest,/səˈdʒest/,gợi ý, đề xuất
recommend,/ˌrekəˈmend/,khuyên dùng, giới thiệu
advise,/ədˈvaɪz/,lời khuyên, khuyên bảo
decide,/dɪˈsaɪd/,quyết định
choose,/tʃuːz/,lựa chọn
select,/sɪˈlekt/,tuyển chọn
collect,/kəˈlekt/,thu thập
gather,/ˈɡæðər/,tụ họp, gom lại
organize,/ˈɔːrɡənaɪz/,tổ chức, sắp xếp
manage,/ˈmænɪdʒ/,quản lý
control,/kənˈtroʊl/,kiểm soát
protect,/prəˈtekt/,bảo vệ
save,/seɪv/,tiết kiệm, cứu giúp
spend,/spend/,tiêu xài, dành ra
waste,/weɪst/,lãng phí
improve,/ɪmˈpruːv/,cải thiện
reduce,/rɪˈduːs/,giảm bớt
increase,/ɪnˈkriːs/,tăng lên
add,/æd/,thêm vào
remove,/rɪˈmuːv/,gỡ bỏ
delete,/dɪˈliːt/,xóa
insert,/ɪnˈsɜːrt/,chèn vào
update,/ˌʌpˈdeɪt/,cập nhật
search,/sɜːrtʃ/,tìm kiếm
find,/faɪnd/,tìm thấy
lose,/luːz/,đánh mất
win,/wɪn/,chiến thắng
defeat,/dɪˈfiːt/,đánh bại
compete,/kəmˈpiːt/,cạnh tranh
cooperate,/koʊˈɑːpəreɪt/,hợp tác
support,/səˈpɔːrt/,hỗ trợ
help,/help/,giúp đỡ
assist,/əˈsɪst/,phụ tá, trợ giúp
serve,/sɜːrv/,phục vụ
provide,/prəˈvaɪd/,cung cấp
produce,/prəˈduːs/,sản xuất
consume,/kənˈsuːm/,tiêu thụ
purchase,/ˈpɜːrtʃəs/,mua sắm
sell,/sel/,bán
trade,/treɪd/,giao thương, trao đổi
market,/ˈmɑːrkɪt/,chợ, thị trường
price,/praɪs/,giá cả
cost,/kɔːst/,chi phí
value,/ˈvæljuː/,giá trị
worth,/wɜːrθ/,đáng giá
free,/friː/,miễn phí, tự do
expensive,/ɪkˈspensɪv/,đắt tiền
cheap,/tʃiːp/,rẻ tiền
pay,/peɪ/,thanh toán
bill,/bɪl/,hóa đơn
receipt,/rɪˈsiːt/,biên lai
account,/əˈkaʊnt/,tài khoản
card,/kɑːrd/,thẻ
cash,/kæʃ/,tiền mặt
coin,/kɔɪn/,tiền xu
wallet,/ˈwɑːlɪt/,ví tiền
pocket,/ˈpɑːkɪt/,túi quần áo
bag,/bæɡ/,túi xách, bao tải
box,/bɑːks/,hộp, thùng
container,/kənˈteɪnər/,thùng chứa
package,/ˈpækɪdʒ/,bưu phẩm, gói hàng
mail,/meɪl/,thư từ
letter,/ˈletər/,lá thư, chữ cái
post,/poʊst/,đăng bài, bưu cục
office,/ˈɑːfɪs/,văn phòng
desk,/desk/,bàn làm việc
chair,/tʃer/,ghế
table,/ˈteɪbl/,bàn
furniture,/ˈfɜːrnɪtʃər/,đồ nội thất
house,/haʊs/,nhà cửa
flat,/flæt/,căn hộ
apartment,/əˈpɑːrtmənt/,căn chung cư
building,/ˈbɪldɪŋ/,tòa nhà
structure,/ˈstrʌktʃər/,cấu trúc
construction,/kənˈstrʌkʃn/,xây dựng
material,/məˈtɪriəl/,nguyên vật liệu
tool,/tuːl/,công cụ, dụng cụ
device,/dɪˈvaɪs/,thiết bị
machine,/məˈʃiːn/,máy móc
engine,/ˈendʒɪn/,động cơ
vehicle,/ˈviːəkl/,phương tiện giao thông
traffic,/ˈtræfɪk/,giao thông
road,/roʊd/,con đường
street,/striːt/,đường phố
path,/pæθ/,lối đi, đường mòn
highway,/ˈhaɪweɪ/,quốc lộ, đường cao tốc
bridge,/brɪdʒ/,cây cầu
river,/ˈrɪvər/,con sông
lake,/leɪk/,hồ nước
sea,/siː/,biển
ocean,/ˈoʊʃn/,đại dương
beach,/biːtʃ/,bãi biển
sand,/sænd/,cát
dust,/dʌst/,bụi bặm
mud,/mʌd/,bùn lầy
soil,/sɔɪl/,đất trồng
stone,/stoʊn/,đá
rock,/rɑːk/,tảng đá lớn
mountain,/ˈmaʊntn/,núi
hill,/hɪl/,đồi
valley,/ˈvæli/,thung lũng
forest,/ˈfɔːrɪst/,rừng
jungle,/ˈdʒʌnɡl/,rừng rậm nhiệt đới
wood,/wʊd/,gỗ, củi
tree,/triː/,cây
plant,/plænt/,thực vật, cây xanh
flower,/ˈflaʊər/,hoa, bông hoa
grass,/ɡræs/,cỏ
leaf,/liːf/,lá cây
root,/ruːt/,rễ cây
seed,/siːd/,hạt giống
fruit,/fruːt/,trái cây
vegetable,/ˈvedʒtəbl/,rau củ
food,/fuːd/,thức ăn
drink,/drɪŋk/,đồ uống
meal,/miːl/,bữa ăn
breakfast,/ˈbrekfəst/,bữa sáng
lunch,/lʌntʃ/,bữa trưa
dinner,/ˈdɪnər/,bữa tối
kitchen,/ˈkɪtʃɪn/,nhà bếp
cook,/kʊk/,nấu ăn
bake,/beɪk/,nướng bánh
boil,/bɔɪl/,đun sôi, luộc
fry,/fraɪ/,chiên, rán
steam,/stiːm/,hấp
slice,/slaɪs/,cắt lát
chop,/tʃɑːp/,băm nhỏ, chặt
mix,/mɪks/,trộn lẫn
serve,/sɜːrv/,dọn ra, phục vụ
plate,/pleɪt/,đĩa
bowl,/boʊl/,bát, chén
cup,/kʌp/,tách, ly
glass,/ɡlæs/,cốc thủy tinh
bottle,/ˈbɑːtl/,chai lọ
fork,/fɔːrk/,dĩa
spoon,/spuːn/,thìa, muỗng
knife,/naɪf/,con dao
tool,/tuːl/,công cụ
